<<<<<<< HEAD
first_name,last_name,class_name,gender,date_of_birth,email,major,image_path
Toan,Nguyen,SE0120,Male,05/15/2010,toan.nguyen@fpt.edu.com,A,/images/std001.jpg
Linh,Tran,SE0720,Female,02/13/2011,linh.tran@fpt.edu.com,B,/images/std002.jpg
Minh,Le,SE0023,Male,12/01/2009,minh.le@fpt.edu.com,C,/images/std003.jpg
Ha,Pham,SE0134,Female,03/22/2012,ha.pham@fpt.edu.com,A,/images/std004.jpg
Vu,Do,SE0452,Male,11/17/2010,vu.do@fpt.edu.com,B,/images/std005.jpg
Trang,Nguyen,SE0911,Female,07/30/2011,trang.nguyen@fpt.edu.com,C,/images/std006.jpg
Son,Hoang,SE0788,Male,09/05/2008,son.hoang@fpt.edu.com,A,/images/std007.jpg
Chi,Vu,SE0671,Female,01/12/2012,chi.vu@fpt.edu.com,B,/images/std008.jpg
Khoa,Dao,SE0112,Male,04/21/2009,khoa.dao@fpt.edu.com,C,/images/std009.jpg
My,Thai,SE0222,Female,10/08/2010,my.thai@fpt.edu.com,A,/images/std010.jpg
1212,21,21121212,Female,12/22/1211,,12,/assets/img/profiles/avatar-01.jpg
=======
student_id,first_name,last_name,class_name,gender,date_of_birth,religion,joining_date,mobile_number,admission_number,section,email,image_path,address,permanent_address,father_name,father_occupation,father_mobile,father_email,mother_name,mother_occupation,mother_mobile,mother_email
STD001,Toan,Nguyen,SE0120,Male,05/15/2010 00:00:00,Buddhism,09/01/2020 00:00:00,0912345678,AD1001,A,toan.nguyen@fpt.edu.com,/images/std001.jpg,Da Nang,Da Nang,Nguyen Van A,Engineer,0909123456,a.nguyen@fpt.edu.com,Tran Thi B,Teacher,0909765432,b.tran@fpt.edu.com
STD002,Linh,Tran,SE0720,Female,02/13/2011 00:00:00,Catholic,08/20/2021 00:00:00,0987654321,AD1002,B,linh.tran@fpt.edu.com,/images/std002.jpg,Hanoi,Hanoi,Tran Van C,Farmer,0911222333,c.tran@fpt.edu.com,Le Thi D,Housewife,0922333444,d.le@fpt.edu.com
STD003,Minh,Le,SE0023,Male,12/01/2009 00:00:00,Christian,07/10/2019 00:00:00,0933445566,AD1003,C,minh.le@fpt.edu.com,/images/std003.jpg,Quang Nam,Quang Nam,Le Van E,Driver,0909988776,e.le@fpt.edu.com,Pham Thi F,Nurse,0912349876,f.pham@fpt.edu.com
STD004,Ha,Pham,SE0134,Female,03/22/2012 00:00:00,Buddhism,09/05/2022 00:00:00,0977223344,AD1004,A,ha.pham@fpt.edu.com,/images/std004.jpg,Hue,Hue,Pham Van G,Police,0966123456,g.pham@fpt.edu.com,Nguyen Thi H,Accountant,0977889900,h.nguyen@fpt.edu.com
STD005,Vu,Do,SE0452,Male,11/17/2010 00:00:00,Atheism,09/01/2020 00:00:00,0908122334,AD1005,B,vu.do@fpt.edu.com,/images/std005.jpg,Saigon,Saigon,Do Van I,Builder,0908122334,i.do@fpt.edu.com,Hoang Thi J,Shopkeeper,0912334455,j.hoang@fpt.edu.com
STD006,Trang,Nguyen,SE0911,Female,07/30/2011 00:00:00,Buddhism,08/25/2021 00:00:00,0955667788,AD1006,C,trang.nguyen@fpt.edu.com,/images/std006.jpg,Can Tho,Can Tho,Nguyen Van K,Driver,0909332211,k.nguyen@fpt.edu.com,Tran Thi L,Teacher,0988112233,l.tran@fpt.edu.com
STD007,Son,Hoang,SE0788,Male,09/05/2008 00:00:00,Catholic,09/01/2018 00:00:00,0944556677,AD1007,A,son.hoang@fpt.edu.com,/images/std007.jpg,Binh Duong,Binh Duong,Hoang Van M,Electrician,0912556677,m.hoang@fpt.edu.com,Le Thi N,Clerk,0933445566,n.le@fpt.edu.com
STD008,Chi,Vu,SE0671,Female,01/12/2012 00:00:00,Buddhism,07/10/2022 00:00:00,0977332211,AD1008,B,chi.vu@fpt.edu.com,/images/std008.jpg,Thai Nguyen,Thai Nguyen,Vu Van O,Fisherman,0909223344,o.vu@fpt.edu.com,Phan Thi P,Seamstress,0911556677,p.phan@fpt.edu.com
STD009,Khoa,Dao,SE0112,Male,04/21/2009 00:00:00,Atheism,08/20/2019 00:00:00,0966778899,AD1009,C,khoa.dao@fpt.edu.com,/images/std009.jpg,Thanh Hoa,Thanh Hoa,Dao Van Q,Teacher,0909776655,q.dao@fpt.edu.com,Nguyen Thi R,Doctor,0977443322,r.nguyen@fpt.edu.com
S001,My,Thai,SE0222,Female,10/08/2010 00:00:00,Catholic,09/01/2020 00:00:00,0999888777,AD1010,A,my.thai@fpt.edu.com,/images/std010.jpg,Da Lat,Da Lat,Thai Van S,Chef,0912332211,s.thai@fpt.edu.com,Le Thi T,Nurse,0922443311,t.le@fpt.edu.com
21,1212,21,21121212,Female,12/22/1211 00:00:00,21,12/12/2121 00:00:00,21,09,12,,/assets/img/profiles/avatar-01.jpg,21,21,21,21,21,12302120@gmail.com,21,21,21,g.nguyen@email.com
>>>>>>> master
